"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"385.217.127,79";"536.055,52";"68.018,28";"34.494.532,72";
"01/2025";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"220.393.196,00";"52.028,63";"50.626,33";"16.499.093,83";
"01/2025";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"887.683.224,48";"1.153.237,60";"195.605,20";"100.341.261,45";
"01/2025";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"895.254.679,10";"201.833,07";"55.520,07";"68.658.497,87";
"01/2025";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"386.360.739,53";"22.439,36";"22.439,36";"34.415.609,07";
"01/2025";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"142.870.518,12";"25.803,62";"10.995,61";"84.677.542,86";
"01/2025";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"303.424.206,31";"59.367,73";"21.564,36";"28.792.953,61";
"01/2025";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"2.455.949,34";"1.169.685,14";"69.348,65";"23.211.089,00";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53902 - Fundo Constitucional de Financiamento do Centro-Oeste";"0,00";"0,00";"0,00";"257.867.519,35";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53903 - Fundo Constitucional de Financiamento do Nordeste";"16.489.871.522,00";"208.601.999,28";"208.601.999,28";"565.000.558,26";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53901 - Fundo Constitucional de Financiamento do Norte";"5.496.623.842,00";"69.533.999,87";"69.533.999,87";"473.573.113,11";
"01/2025";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"370.231.920,43";"13.175.622,75";"12.593.695,16";"688.856.214,46";
"01/2025";"68000 - Ministério de Portos e Aeroportos";"49901 - Fundo da Marinha Mercante";"36.000,00";"32.904,94";"32.904,94";"85.454,19";
"01/2025";"40000 - Ministério do Trabalho e Emprego";"38901 - Fundo de Amparo ao Trabalhador";"3.155.991.216,73";"3.155.991.216,73";"3.155.991.216,73";"2.740.423.897,27";
"01/2025";"22000 - Ministério da Agricultura e Pecuária";"22905 - Fundo de Defesa da Economia Cafeeira";"0,00";"0,00";"0,00";"1.080.883.239,68";
"01/2025";"30000 - Ministério da Justiça e Segurança Pública";"30905 - Fundo de Defesa de Direitos Difusos";"0,00";"0,00";"0,00";"100.496,87";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"74918 - Fundo de Desenvolvimento do Nordeste";"0,00";"0,00";"0,00";"672.498.392,22";
"01/2025";"25000 - Ministério da Fazenda";"25904 - Fundo de Estabilidade do Seguro Rural";"9.472,02";"9.472,02";"9.472,02";"0,00";
"01/2025";"25000 - Ministério da Fazenda";"25914 - Fundo de Garantia à Exportação";"0,00";"0,00";"0,00";"5.087.749,04";
"01/2025";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"0,00";"0,00";"0,00";"2.897.649,77";
"01/2025";"52000 - Ministério da Defesa";"52904 - Fundo do Exército";"306.125.463,70";"27.440.313,59";"10.586.520,56";"140.482.406,54";
"01/2025";"33000 - Ministério da Previdência Social";"37904 - Fundo do Regime Geral da Previdência Social";"211.429.065.102,40";"7.620.783.535,98";"3.490.295.955,26";"55.386.483.877,14";
"01/2025";"54000 - Ministério do Turismo";"54901 - Fundo Geral de Turismo";"0,00";"0,00";"0,00";"179.417.201,17";
"01/2025";"30000 - Ministério da Justiça e Segurança Pública";"30912 - Fundo Nacional Antidrogas";"30.000,00";"25.172,18";"25.172,18";"346.499,74";
"01/2025";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"55001 - Fundo Nacional de Assistência Social";"1.077.000,00";"1.065.000,00";"330.000,00";"155.888.002,02";
"01/2025";"42000 - Ministério da Cultura";"34902 - Fundo Nacional de Cultura";"0,00";"0,00";"0,00";"12.774.632,97";
"01/2025";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24901 - Fundo Nacional de Desenvolvimento Científico e Tecnológico";"341.883.123,85";"159.373.078,47";"121.151.186,44";"254.930.892,56";
"01/2025";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"59.705.571.131,16";"344.199.723,25";"5.857,10";"3.419.180.829,89";
"01/2025";"30000 - Ministério da Justiça e Segurança Pública";"30911 - Fundo Nacional de Segurança Pública";"1.735.815.979,36";"20.368.188,11";"20.348.443,11";"99.574.183,36";
"01/2025";"30000 - Ministério da Justiça e Segurança Pública";"30907 - Fundo Penitenciário Nacional";"46.252.452,45";"2.154.301,58";"1.953.543,87";"5.444.471,30";
"01/2025";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"8.979.526,25";"126.241,86";"126.241,86";"661.737,30";
"01/2025";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"19.238.859,00";"12.212.693,08";"8.287.591,79";"202.555.393,00";
"01/2025";"36000 - Ministério da Saúde";"36210 - Hospital Nossa Senhora da Conceição S.A.";"206.691.463,69";"26.735.233,71";"15.163.566,22";"77.582.026,25";
"01/2025";"52000 - Ministério da Defesa";"52221 - Indústria de Material Bélico do Brasil";"196.058.313,91";"6.491.824,97";"5.006.334,91";"12.871.865,24";
"01/2025";"42000 - Ministério da Cultura";"42207 - Instituto Brasileiro de Museus";"6.249.234,61";"212.052,02";"208.434,84";"12.476.348,99";
"01/2025";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"20701 - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"1.286.290.491,06";"1.470.809,57";"1.236.916,34";"116.229.655,88";
"01/2025";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44207 - Instituto Chico Mendes de Conservação da Biodiversidade";"17.131.540,50";"235.305,33";"79.113,90";"61.134.100,15";
"01/2025";"47000 - Ministério do Planejamento e Orçamento";"61201 - Instituto de Pesquisa Econômica Aplicada";"368.208.963,63";"55.421,90";"45.884,36";"33.965.985,36";
"01/2025";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44206 - Instituto de Pesquisas Jardim Botânico do Rio de Janeiro";"53.818.182,05";"58.465,91";"29.835,01";"4.504.991,17";
"01/2025";"42000 - Ministério da Cultura";"20411 - Instituto do Patrimônio Histórico e Artístico Nacional";"248.119.704,44";"495.283,89";"115.088,74";"28.968.002,06";
"01/2025";"26000 - Ministério da Educação";"26404 - Instituto Federal Baiano";"297.731.800,79";"651.504,21";"96.988,51";"36.027.764,47";
"01/2025";"26000 - Ministério da Educação";"26422 - Instituto Federal Catarinense";"431.788.365,00";"150.058,18";"105.847,92";"45.156.048,56";
"01/2025";"26000 - Ministério da Educação";"26427 - Instituto Federal da Bahia";"703.141.072,67";"33.263,68";"25.993,27";"74.054.602,69";
"01/2025";"26000 - Ministério da Educação";"26417 - Instituto Federal da Paraíba";"494.984.191,19";"149.863,13";"77.372,98";"70.157.863,13";
"01/2025";"26000 - Ministério da Educação";"26402 - Instituto Federal de Alagoas";"421.616.686,76";"269.915,64";"163.889,62";"45.098.946,80";
"01/2025";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"2.368.094,23";"29.212,14";"10.209,43";"17.574.430,86";
"01/2025";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"483.840.327,90";"165.427,40";"90.574,09";"47.276.819,39";
"01/2025";"26000 - Ministério da Educação";"26409 - Instituto Federal de Minas Gerais";"485.936.706,29";"481.487,51";"392.164,42";"45.678.226,20";
"01/2025";"26000 - Ministério da Educação";"26418 - Instituto Federal de Pernambuco";"211.521.496,44";"61.665,91";"44.286,34";"61.053.291,83";
"01/2025";"26000 - Ministério da Educação";"26421 - Instituto Federal de Rondônia";"250.526.912,25";"386.435,45";"241.029,84";"27.535.873,03";
