"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"30000 - Ministério da Justiça e Segurança Pública";"30108 - Polícia Federal";"2.707.722.952,48";"303.628.049,47";"4.793.254,99";"674.352.447,53";
"01/2025";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Polícia Rodoviária Federal";"5.940.042.205,97";"48.541.671,23";"2.837.839,05";"471.083.612,69";
"01/2025";"20000 - Presidência da República";"20101 - Presidência da República";"1.140.017.824,17";"5.322.736,85";"4.923.575,77";"120.461.746,04";
"01/2025";"69000 - Secretaria da Micro e Pequena Empresa";"69000 - Secretaria da Micro e Pequena Empresa - Unidades com vínculo direto";"15.758.144,90";"1.241.494,57";"11.306,90";"4.184.562,21";
"01/2025";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44208 - Serviço Florestal Brasileiro";"122.206,08";"7.594,15";"7.594,15";"1.046.614,70";
"01/2025";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"20603 - Superintendência da Zona Franca de Manaus";"113.340.917,25";"13.589,46";"12.159,75";"11.061.069,88";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53207 - Superintendência de Desenvolvimento do Centro-Oeste";"1.116.457,56";"0,00";"0,00";"11.289.520,03";
"01/2025";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"239.777.342,56";"90.578,92";"90.578,92";"18.305.788,48";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53202 - Superintendência do Desenvolvimento da Amazônia";"18.431.185,73";"349.165,43";"349.070,43";"14.386.655,17";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53203 - Superintendência do Desenvolvimento do Nordeste";"356.880,93";"128.603,02";"127.110,80";"3.984.624,34";
"01/2025";"33000 - Ministério da Previdência Social";"33206 - Superintendência Nacional de Previdência Complementar";"106.732,52";"24.732,52";"24.732,52";"2.647.121,67";
"01/2025";"41000 - Ministério das Comunicações";"24216 - Telecomunicações Brasileiras S.A.";"122.421.109,13";"8.194.461,73";"4.729.495,22";"23.895.256,77";
"01/2025";"26000 - Ministério da Educação";"26442 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira";"16.135.215,06";"933.860,34";"17.937,35";"15.784.859,17";
"01/2025";"26000 - Ministério da Educação";"26232 - Universidade Federal da Bahia";"1.912.029.609,67";"1.787.785,34";"1.784.035,34";"141.235.409,07";
"01/2025";"26000 - Ministério da Educação";"26440 - Universidade Federal da Fronteira Sul";"186.457.047,70";"283.762,16";"16.859,11";"29.081.984,20";
"01/2025";"26000 - Ministério da Educação";"26267 - Universidade Federal da Integração Latino-Americana";"2.879.201,14";"705.200,38";"175.297,43";"17.536.168,25";
"01/2025";"26000 - Ministério da Educação";"26240 - Universidade Federal da Paraíba";"8.050.487,86";"528.898,39";"61.719,90";"206.290.659,67";
"01/2025";"26000 - Ministério da Educação";"26231 - Universidade Federal de Alagoas";"1.059.596.047,51";"199.178,95";"4.078,95";"112.437.929,39";
"01/2025";"26000 - Ministério da Educação";"26260 - Universidade Federal de Alfenas";"238.215.222,56";"119.650,87";"26.588,27";"27.445.834,74";
"01/2025";"26000 - Ministério da Educação";"26252 - Universidade Federal de Campina Grande";"842.812.014,94";"3.070.469,61";"915.360,65";"86.670.132,56";
"01/2025";"26000 - Ministério da Educação";"26452 - Universidade Federal de Catalão";"31.428.630,67";"923.031,83";"25.347,39";"10.143.161,78";
"01/2025";"26000 - Ministério da Educação";"26235 - Universidade Federal de Goiás";"1.014.132.485,84";"611.289,32";"265.966,20";"108.716.394,12";
"01/2025";"26000 - Ministério da Educação";"26261 - Universidade Federal de Itajubá";"261.369.011,87";"30.485,59";"27.894,89";"24.890.760,88";
"01/2025";"26000 - Ministério da Educação";"26453 - Universidade Federal de Jataí";"120.381.594,20";"1.052.403,06";"248.227,59";"10.320.265,59";
"01/2025";"26000 - Ministério da Educação";"26237 - Universidade Federal de Juiz de Fora";"983.568.968,44";"402.075,70";"351.486,13";"118.925.863,66";
"01/2025";"26000 - Ministério da Educação";"26263 - Universidade Federal de Lavras";"171.783.470,12";"18.131.071,61";"108.628,08";"40.033.716,88";
"01/2025";"26000 - Ministério da Educação";"26238 - Universidade Federal de Minas Gerais";"2.229.624.896,73";"4.947.893,01";"4.110.986,89";"210.385.147,48";
"01/2025";"26000 - Ministério da Educação";"26277 - Universidade Federal de Ouro Preto";"113.858.138,42";"327.917,78";"139.204,11";"42.161.309,34";
"01/2025";"26000 - Ministério da Educação";"26242 - Universidade Federal de Pernambuco";"1.982.939.917,08";"2.357.746,41";"81.021,84";"199.601.023,27";
"01/2025";"26000 - Ministério da Educação";"26454 - Universidade Federal de Rondonópolis";"107.767.391,69";"12.353,89";"7.835,16";"11.055.075,84";
"01/2025";"26000 - Ministério da Educação";"26250 - Universidade Federal de Roraima";"213.720.019,76";"578.016,10";"562.690,50";"22.334.350,74";
"01/2025";"26000 - Ministério da Educação";"26246 - Universidade Federal de Santa Catarina";"1.905.307.267,01";"1.864.505,22";"5.725,32";"178.302.382,24";
"01/2025";"26000 - Ministério da Educação";"26247 - Universidade Federal de Santa Maria";"1.547.274.597,13";"8.948.568,53";"8.521.761,58";"122.936.462,50";
"01/2025";"26000 - Ministério da Educação";"26262 - Universidade Federal de São Paulo";"1.408.512.044,27";"17.622,04";"4.531,49";"143.395.032,17";
"01/2025";"26000 - Ministério da Educação";"26282 - Universidade Federal de Viçosa";"721.808.239,92";"2.754.646,19";"2.240.558,07";"85.580.579,58";
"01/2025";"26000 - Ministério da Educação";"26456 - Universidade Federal do Agreste de Pernambuco";"9.007.133,44";"237.118,87";"17.631,87";"7.365.455,57";
"01/2025";"26000 - Ministério da Educação";"26449 - Universidade Federal do Cariri";"1.706.273,41";"8.466,34";"7.232,80";"12.184.138,94";
"01/2025";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"1.756.603.466,26";"95.388,88";"94.028,88";"150.263.397,73";
"01/2025";"26000 - Ministério da Educação";"26455 - Universidade Federal do Delta do Parnaíba";"154.458,70";"123.540,03";"1.943,25";"8.922.854,71";
"01/2025";"26000 - Ministério da Educação";"26234 - Universidade Federal do Espírito Santo";"1.132.204.327,45";"1.382.224,12";"150.123,54";"105.294.063,47";
"01/2025";"26000 - Ministério da Educação";"26269 - Universidade Federal do Estado do Rio de Janeiro";"149.802.459,00";"563.104,18";"10.153,41";"54.560.719,11";
"01/2025";"26000 - Ministério da Educação";"26457 - Universidade Federal do Norte do Tocantins";"111.292.511,59";"178.899,59";"27.699,59";"10.675.578,01";
"01/2025";"26000 - Ministério da Educação";"26447 - Universidade Federal do Oeste da Bahia";"111.338.697,46";"12.935,79";"11.085,60";"10.336.679,63";
"01/2025";"26000 - Ministério da Educação";"26441 - Universidade Federal do Oeste do Pará";"215.200.977,62";"200.695,02";"169.067,59";"20.870.825,61";
"01/2025";"26000 - Ministério da Educação";"26241 - Universidade Federal do Paraná";"1.723.179.824,25";"344.242,77";"312.093,05";"162.892.325,86";
"01/2025";"26000 - Ministério da Educação";"26239 - Universidade Federal do Pará";"1.170.299.308,24";"8.454.634,24";"7.328.545,21";"140.493.115,34";
"01/2025";"26000 - Ministério da Educação";"26351 - Universidade Federal do Recôncavo da Bahia";"361.640.433,44";"557.507,20";"93.584,89";"34.314.560,51";
"01/2025";"26000 - Ministério da Educação";"26245 - Universidade Federal do Rio de Janeiro";"3.462.278.513,57";"15.879.607,30";"13.957.124,43";"340.278.456,55";
"01/2025";"26000 - Ministério da Educação";"26273 - Universidade Federal do Rio Grande";"625.580.608,58";"1.542.588,15";"16.672,83";"49.776.371,45";
"01/2025";"26000 - Ministério da Educação";"26243 - Universidade Federal do Rio Grande do Norte";"1.894.229.991,88";"316.689,99";"100.583,70";"170.524.360,47";
"01/2025";"26000 - Ministério da Educação";"26244 - Universidade Federal do Rio Grande do Sul";"2.060.059.232,34";"155.347.318,10";"748.100,86";"194.908.323,87";
"01/2025";"26000 - Ministério da Educação";"26450 - Universidade Federal do Sul da Bahia";"123.876.631,32";"758.417,21";"356.240,17";"10.615.170,04";
"01/2025";"26000 - Ministério da Educação";"26448 - Universidade Federal do Sul e Sudeste do Pará";"148.733.941,51";"366.213,99";"51.531,46";"13.713.623,82";
"01/2025";"26000 - Ministério da Educação";"26254 - Universidade Federal do Triângulo Mineiro";"573.056.984,01";"47.037,76";"21.137,86";"49.561.831,38";
"01/2025";"26000 - Ministério da Educação";"26255 - Universidade Federal dos Vales do Jequitinhonha e Mucuri";"322.725.267,10";"11.988,59";"10.791,99";"30.347.640,97";
"01/2025";"26000 - Ministério da Educação";"26236 - Universidade Federal Fluminense";"194.319.745,55";"8.421.119,66";"8.070.665,86";"203.127.790,70";
"01/2025";"26000 - Ministério da Educação";"26253 - Universidade Federal Rural da Amazônia";"175.524,17";"140.400,00";"139.800,00";"23.536.660,31";
"01/2025";"26000 - Ministério da Educação";"26248 - Universidade Federal Rural de Pernambuco";"168.237.135,99";"491.939,73";"10.886,98";"66.311.927,87";
"01/2025";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"6.369.425,09";"2.251.487,13";"770.860,37";"69.213.986,95";
"01/2025";"26000 - Ministério da Educação";"26264 - Universidade Federal Rural do Semi-Árido";"328.430.113,53";"444.316,74";"42.835,22";"30.021.916,79";
"01/2025";"26000 - Ministério da Educação";"26258 - Universidade Tecnológica Federal do Paraná";"802.709.817,52";"375.658,19";"350.099,64";"87.074.039,97";
"01/2025";"39000 - Ministério dos Transportes";"29209 - VALEC Engenharia, Construções e Ferrovias S.A.";"215.179.108,00";"6.463.605,94";"6.463.605,94";"17.490.758,36";
